flag	content
$INSTRUCTIONS	Click a flag to load text from that locale.<N>Several files are intentionally missing from various locales.<N>This showcases the <LQ>missing file check<RQ> feature.<N>Click a file format to test parsing of that file format.<N>
$HELLO_WORLD	Hello, World!
$TEST_STRING	My mom took the elevator to the defense department.
$MISSING_FLAGS	<X> localization flags are missing:
$MISSING_FILES	<X> localization files are missing:
$ANOTHER_STRING	Another string
$MORE_STRINGS	More strings
$LOOK_MORE_STRINGS	Look, even more strings!
$ABBREVIATION_NOT_AVAILABLE	N/A
$ABBREVIATION_NOT_A_NUMBER	NaN
$PIECE_IS_BETA	(BETA)
$PIECE_WITH	with
$SPLASH_SLOGAN	A mod of Friday Night Funkin'
$SPLASH_BIOS_BUTTON	Press ESCAPE / Gamepad SELECT to go to BIOS setting
$SPLASH_BIOS_SETTING	BIOS Setting
$SPLASH_WELCOME	Welcome to Last Funkin Moments!
$INTRO_TEXT_0	this intro
$INTRO_TEXT_1	in english
$OPTIONS_SELECT_LANGUAGE	Language 🌐
$OPTIONS_SELECT_LANGUAGE_DESCRIPTION	Select your language
$OPTIONS_DOOM_MELT	Melting Screen Transition
$OPTIONS_DOOM_MELT_DESCRIPTION	<RE>[$PIECE_IS_BETA] Whether to use screen melting effect when switching state
$OPTIONS_KADE_MUSIC	Main Menu Music
$OPTIONS_KADE_MUSIC_DESCRIPTION	Choose which main menu music to play next time triggered
$OPTIONS_KADE_MUSIC_OPT_0	Default
$OPTIONS_KADE_MUSIC_OPT_1	Kade Engine
$GAMEPLAY	Gameplay
$GAMEPLAY_BLINK_TEXT_BOTPLAY	BOTPLAY
$GAMEPLAY_BLINK_TEXT_REPLAY	REPLAY
$GAMEPLAY_HUD_TEXT_COMBO	Combo
$GAMEPLAY_HUD_TEXT_MAXCOMBO	Max Combo
$GAMEPLAY_JUDGEMENT_COUNTING_MISS	Misses
$GAMEPLAY_JUDGEMENT_COUNTING_ALMOST	Shits
$GAMEPLAY_JUDGEMENT_COUNTING_BAD	Bads
$GAMEPLAY_JUDGEMENT_COUNTING_GOOD	Goods
$GAMEPLAY_JUDGEMENT_COUNTING_GREAT	Greats
$GAMEPLAY_JUDGEMENT_COUNTING_PERFECT	Sicks
$GAMEPLAY_JUDGEMENT_COUNTING_FLAWLESS	Danks
$GAMEPLAY_JUDGEMENT_COUNTING_LUDICROUS	MVPs
$GAMEPLAY_ACCURACY_MODE	Accuracy Mode
$GAMEPLAY_ACCURACY_MODE_OPTION_NONE	None
$GAMEPLAY_ACCURACY_MODE_OPTION_SIMPLE	Simple
$GAMEPLAY_ACCURACY_MODE_OPTION_ACCURATE	Accurate
$GAMEPLAY_ACCURACY_MODE_OPTION_COMPLEX	Complex
$GAMEPLAY_RESULT	Result
$GAMEPLAY_RESULT_LETTER_RANKING	Letter Ranking
$GAMEPLAY_RESULT_LETTER_RANKING_SUCK	You suck lmao
$GAMEPLAY_RESULT_LETTER_RANKING_BOTPLAY	BOTPLAY
$GAMEPLAY_RESULT_LETTER_RANKING_BOTPLAY	PRACTICE
$GAMEPLAY_RANKING_BAR	Ranking Bar
$GAMEPLAY_RANKING_BAR_COMBO_BREAKS	Combo Breaks
$GAMEPLAY_RANKING_BAR_AVERAGE	Average
$GAMEPLAY_RANKING_BAR_ACCURACY	Accuracy
$GAMEPLAY_RANKING_BAR_PRACTICE	PRACTICE
$GAMEPLAY_PRESS_SPACE_TO_SKIP_INTRO	Press SPACE to skip Intro
$GAMEPLAY_DIFFICULTY_NOVICE	Noob
$GAMEPLAY_DIFFICULTY_EASY	Easy
$GAMEPLAY_DIFFICULTY_MEDIUM	Normal
$GAMEPLAY_DIFFICULTY_HARD	Hard
$GAMEPLAY_DIFFICULTY_INSANE	Pro
$GAMEPLAY_DIFFICULTY_IMPOSSIBLE	Errected
$LOADING_NOW_LOADING	Now Loading
$LOADING_JUST_LOADING	Loading
$PAUSE_MENU	Pause Menu
$PAUSE_MENU_RESUME	resume
$PAUSE_MENU_RESTART_SONG	restart song
$PAUSE_MENU_EXIT_TO_MENU	exit to menu
$TITLE_PRESENTS	presents
$TITLE_ARE_WE_PARTNERED	are we partnered
$TITLE_ARE_WE_PARTNERED_WITH	<RE>[$PIECE_WITH]
$TITLE_PRODUCT_BY	by
$TITLE_IN_PARTNERSHIP	In Partnership
$TITLE_IN_PARTNERSHIP_WITH	<RE>[$PIECE_WITH]
$DIALOGUE_PRESS_BACK_TO_SKIP	press BACK to skip
$DIALOGUE_BUTTON_SKIP	Skip
$DIALOGUE_BUTTON_AUTOCLICK_CHECKBOX	Auto-click
$DIALOGUE_BUTTON_AUTOCLICK_DELAY_LABEL	Auto-click delay
